State,Total Winter All Loss,Beekeepers,Beekeepers Exclusive to State,Colonies,Colonies Exclusive to State
Nevada,5.2%,8,62.5%,1147,2.5%
Hawaii,8.9%,34,97.1%,10165,99.1%
Oregon,14.7%,177,94.9%,38036,33.9%
Idaho,15.6%,62,77.4%,74921,0.3%
South Dakota,16.3%,16,50%,76136,0%
Colorado,16.8%,214,97.7%,63126,1.6%
Indiana,16.9%,138,97.1%,3770,25.2%
Nebraska,17.3%,15,80%,72610,0.1%
Wyoming,17.3%,12,66.7%,14282,0.2%
Utah,17.3%,47,85.1%,16677,1.3%
North Dakota,18.2%,34,11.8%,199777,0%
Minnesota,19.4%,109,85.3%,77361,0.9%
Mississippi,19.9%,12,83.3%,6123,5.3%
California,20%,208,63.9%,320003,10.8%
Arkansas,20.1%,103,94.2%,2072,80.5%
Washington,20.4%,158,93%,107980,1%
Texas,20.9%,157,87.3%,109746,2.6%
MultiStateOperation,20.9%,164,0%,297803,0%
Tennessee,21.9%,82,96.3%,1223,90.2%
South Carolina,22.3%,79,89.9%,2061,27.2%
Georgia,23.9%,81,86.4%,3977,40.7%
Michigan,24.4%,284,98.2%,9594,90.2%
Missouri,25.1%,114,97.4%,1823,96.4%
Kansas,27.2%,44,97.7%,871,85.4%
Montana,27.9%,31,74.2%,30059,5%
Vermont,29.1%,67,94%,707,58.7%
Louisiana,33.3%,22,86.4%,3617,12.6%
North Carolina,34.4%,301,97.7%,2300,97.3%
Alabama,34.7%,31,96.8%,354,97.2%
New York,35.4%,182,95%,26818,13.6%
Florida,35.8%,111,87.4%,27403,8.3%
New Hampshire,36.3%,59,93.2%,651,65.8%
Virginia,36.3%,722,98.8%,5365,98.8%
New Jersey,36.5%,112,94.6%,1295,80.5%
Oklahoma,36.5%,40,90%,5880,5.4%
Kentucky,37.7%,70,97.1%,674,74.5%
Wisconsin,39.6%,161,94.4%,21404,10.4%
Maine,39.9%,126,96%,18910,4%
Delaware,40.5%,20,70%,18426,0.3%
District of Columbia,41.1%,5,80%,265,2.3%
Maryland,41.4%,158,93.7%,10577,8.6%
Pennsylvania,42.6%,860,98.3%,24766,24.5%
New Mexico,42.9%,24,95.8%,1926,6.5%
Massachusetts,42.9%,195,97.4%,1477,75.9%
Iowa,47.4%,47,93.6%,947,68.7%
Rhode Island,47.4%,26,73.1%,397,24.4%
Connecticut,49.2%,71,94.4%,701,59.5%
Ohio,50.1%,345,98%,3387,86.1%
Illinois,51.9%,137,97.8%,1133,76%
Arizona,52.6%,10,90%,1032,36%
West Virginia,56.2%,54,87%,829,46.8%
